,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
1396,1397,iyi saatte olsunlar,İyi saatte olsunlar geldi,misc.,". Şangır şungur, bir şey devrilir ya, öyle söyledi Nazmi. Hamit'in elindeki fener, Nazmi'nin elindeki balyoz yerde. İyi saatte olsunlar geldi, diye tir tir titriyorlarken, dışardan bir ses daha duymuşlar. – Ne sesi abi? – Felak-Nas okuyormuş biri. Benim",şangır şungur bir şey devrilir ya öyle söyledi nazmi hamitin elindeki fener nazminin elindeki balyoz yerde iyi saatte olsunlar geldi diye tir tir titriyorlarken dışardan bir ses daha duymuşlar  ne sesi abi  felaknas okuyormuş biri benim,253,39,". Şangır şungur, bir şey devrilir ya, öyle söyledi Nazmi. Hamit'in elindeki fener, Nazmi'nin elindeki balyoz yerde. [PET_BOUNDARY]İyi saatte olsunlar geldi[PET_BOUNDARY], diye tir tir titriyorlarken, dışardan bir ses daha duymuşlar. – Ne sesi abi? – Felak-Nas okuyormuş biri. Benim",1,sometimes_euph
2357,2358,hayata veda etmek,hayatına veda eden,death,") adlı filmleri ile 1960'tan sonra çalışmaları Avrupa'da da kabul gördü. Las Vegas'ta geçirdiği enfarktüs sonucu hayatına veda eden Orson Welles, bir zamanlar dillerde olan I know what it is to be young şarkısı ile de gönülleri fethetti. ""But you dont",adlı filmleri ile tan sonra çalışmaları avrupada da kabul gördü las vegasta geçirdiği enfarktüs sonucu hayatına veda eden orson welles bir zamanlar dillerde olan i know what it is to be young şarkısı ile de gönülleri fethetti but you dont,251,41,") adlı filmleri ile 1960'tan sonra çalışmaları Avrupa'da da kabul gördü. Las Vegas'ta geçirdiği enfarktüs sonucu [PET_BOUNDARY]hayatına veda eden[PET_BOUNDARY] Orson Welles, bir zamanlar dillerde olan I know what it is to be young şarkısı ile de gönülleri fethetti. ""But you dont",1,sometimes_euph
1031,1032,aramızdan ayrıldı,aramızdan ayrılması,death,768735	Sadık Ahmet’in şaibeli bir trafik kazası ile aramızdan ayrılması sürecindeki baskıcı politikalar maalesef 2017 yılında da azalmadan devam etmektedir.,sadık ahmet’inaibeli bir trafik kazası ile aramızdan ayrılması sürecindeki baskıcı politikalar maalesef  yılında da azalmadan devam etmektedir.,144,17,768735        Sadık Ahmet’in şaibeli bir trafik kazası ile [PET_BOUNDARY]aramızdan ayrılması[PET_BOUNDARY] sürecindeki baskıcı politikalar maalesef 2017 yılında da azalmadan devam etmektedir.,1,sometimes_euph
627,628,madde,madde,substances,"Diyarbakır İl Jandarma Komutanlığı Kaçakçılık ve Organize Suçlarla Mücadele Şube Müdürlüğü ekiplerince ''u yuşturucu madde ticareti"" yapan bir şebekeye yönelik operasyonda, Diyarbakır'dan İstanbul'a gitmek üzere yola çıkan şüpheli bir otomobil merkeze bağlı Pirinçlik köyünde durduruldu. Otomobilin bagaj kısmında poşetlere sarılı 55 kilogram esrar ele geçirildi, M.Y , E.M . ve M.K . gözaltına alındı.","diyarbakır i̇l jandarma komutanlığı kaçakçılık ve organize suçlarla mücadele şube müdürlüğü ekiplerince ''u yuşturucu madde ticareti"" yapan bir şebekeye yönelik operasyonda, diyarbakır'dan i̇stanbul'a gitmek üzere yola çıkan şüpheli bir otomobil merkeze bağlı pirinçlik köyünde durduruldu. otomobilin bagaj kısmında poşetlere sarılı 55 kilogram esrar ele geçirildi, m.y , e.m . ve m.k . gözaltına alındı.",404,54,"Diyarbakır İl Jandarma Komutanlığı Kaçakçılık ve Organize Suçlarla Mücadele Şube Müdürlüğü ekiplerince ''u yuşturucu [PET_BOUNDARY]madde[PET_BOUNDARY] ticareti"" yapan bir şebekeye yönelik operasyonda, Diyarbakır'dan İstanbul'a gitmek üzere yola çıkan şüpheli bir otomobil merkeze bağlı Pirinçlik köyünde durduruldu. Otomobilin bagaj kısmında poşetlere sarılı 55 kilogram esrar ele geçirildi, M.Y , E.M . ve M.K . gözaltına alındı.",1,sometimes_euph
2330,2331,aşırmak,aşırdılar,misc.,"fırtınayı nasıl aştın sen? Biraz da meczub bir adam olan Kosta, saçını başını eliyle taraklayarak: -Ben aşmadım, aşıranlar aşırdılar. Yine bağışlandı bize canımız. Köyde (Ortaköy) ne var, ne yok? -Az evvel. Onlar gönderdiler beni seni",fırtınayı nasıl aştın sen biraz da meczub bir adam olan kosta saçını başını eliyle taraklayarak ben aşmadım aşıranlar aşırdılar yine bağışlandı bize canımız köyde ortaköy ne var ne yok az evvel onlar gönderdiler beni seni,234,35,"fırtınayı nasıl aştın sen? Biraz da meczub bir adam olan Kosta, saçını başını eliyle taraklayarak: -Ben aşmadım, aşıranlar [PET_BOUNDARY]aşırdılar[PET_BOUNDARY]. Yine bağışlandı bize canımız. Köyde (Ortaköy) ne var, ne yok? -Az evvel. Onlar gönderdiler beni seni",0,sometimes_euph
1715,1716,aramızdan ayrıldı,aramızdan ayrıldığında,death,"düşünüyorum. ""Yolculuk İçin Teşekkürler""in İtalyanca, İngilizce ve Fransızcasını yazmanın da üstesinden geldi; aramızdan ayrıldığında Almanca metni yazmaya başlamıştı. Türkçesi, bir Türkçe metni tamamlamasına elvermeyecek kadar paslanmış",düşünüyorum yolculuk için teşekkürlerin italyanca ingilizce ve fransızcasını yazmanın da üstesinden geldi aramızdan ayrıldığında almanca metni yazmaya başlamıştı türkçesi bir türkçe metni tamamlamasına elvermeyecek kadar paslanmış,237,26,"düşünüyorum. ""Yolculuk İçin Teşekkürler""in İtalyanca, İngilizce ve Fransızcasını yazmanın da üstesinden geldi; [PET_BOUNDARY]aramızdan ayrıldığında[PET_BOUNDARY] Almanca metni yazmaya başlamıştı. Türkçesi, bir Türkçe metni tamamlamasına elvermeyecek kadar paslanmış",0,sometimes_euph
2000,2001,gaz kaçırmak,gaz kaçırdığı,bodily functions,"yangın tüpüyle müdahale etti. Ancak müdahale yetersiz kalınca, itfaiyeye haber verildi. Olay yerine gelen ekipler, gaz kaçırdığı saptanan aracın LPG sistemi devre dışı bıraktı, küçük çaplı yangına müdahale ederek söndürdü. evet bu işlemleri 6 gün",yangın tüpüyle müdahale etti ancak müdahale yetersiz kalınca itfaiyeye haber verildi olay yerine gelen ekipler gaz kaçırdığı saptanan aracın lpg sistemi devre dışı bıraktı küçük çaplı yangına müdahale ederek söndürdü evet bu işlemleri  gün,246,35,"yangın tüpüyle müdahale etti. Ancak müdahale yetersiz kalınca, itfaiyeye haber verildi. Olay yerine gelen ekipler, [PET_BOUNDARY]gaz kaçırdığı[PET_BOUNDARY] saptanan aracın LPG sistemi devre dışı bıraktı, küçük çaplı yangına müdahale ederek söndürdü. evet bu işlemleri 6 gün",0,sometimes_euph
1523,1524,uyutmak,uyutuldu,death,"5 yaşlarındaki erkek kedi, yaşama şansı olmadığından dolayı daha fazla acı çekmemesi için veteriner kliniğinde uyutuldu . Muğla ve ilçelerinde bu tür olayların arttığını dile getiren hayvanseverler sosyal medyadan bu duruma tepki",yaşlarındaki erkek kedi yaşama şansı olmadığından dolayı daha fazla acı çekmemesi için veteriner kliniğinde uyutuldu  muğla ve ilçelerinde bu tür olayların arttığını dile getiren hayvanseverler sosyal medyadan bu duruma tepki,229,32,"5 yaşlarındaki erkek kedi, yaşama şansı olmadığından dolayı daha fazla acı çekmemesi için veteriner kliniğinde [PET_BOUNDARY]uyutuldu[PET_BOUNDARY]. Muğla ve ilçelerinde bu tür olayların arttığını dile getiren hayvanseverler sosyal medyadan bu duruma tepki",1,sometimes_euph
1861,1862,hakka yürümek,hakka yürüyen,death,"Hukuk Fakültesinde Öğretim Üyesi Prof. Dr.) ve Ömer Eyüboğlu gibi isimler geliyor. Hayatta olanlara sağlık dilerim, hakka yürüyen arkadaşlarıma ise rahmetler olsun. Cağaloğlu Şerefefendi Sokak Güneş Matbaacılıktaki gazeteme gelerek haberini",hukuk fakültesinde öğretim üyesi prof dr ve ömer eyüboğlu gibi isimler geliyor hayatta olanlara sağlık dilerim hakka yürüyen arkadaşlarıma ise rahmetler olsun cağaloğlu şerefefendi sokak güneş matbaacılıktaki gazeteme gelerek haberini,240,30,"Hukuk Fakültesinde Öğretim Üyesi Prof. Dr.) ve Ömer Eyüboğlu gibi isimler geliyor. Hayatta olanlara sağlık dilerim, [PET_BOUNDARY]hakka yürüyen[PET_BOUNDARY] arkadaşlarıma ise rahmetler olsun. Cağaloğlu Şerefefendi Sokak Güneş Matbaacılıktaki gazeteme gelerek haberini",1,sometimes_euph
1212,1213,dört kollu,dört kollu,death,ayakkabı seslerini kum saatinin akışına uydurma. Ben sana kendini yorma dedikçe sen daha kaç kez ölü bir cesedin dört kollu tabutunu tek başına omuzlamaya devam edeceksin. Yoruldukça renksiz balonların peşinde ben gözyaşına esir,ayakkabı seslerini kum saatinin akışına uydurma ben sana kendini yorma dedikçe sen daha kaç kez ölü bir cesedin dört kollu tabutunu tek başına omuzlamaya devam edeceksin yoruldukça renksiz balonların peşinde ben gözyaşına esir,228,33,ayakkabı seslerini kum saatinin akışına uydurma. Ben sana kendini yorma dedikçe sen daha kaç kez ölü bir cesedin [PET_BOUNDARY]dört kollu[PET_BOUNDARY] tabutunu tek başına omuzlamaya devam edeceksin. Yoruldukça renksiz balonların peşinde ben gözyaşına esir,1,sometimes_euph
1432,1433,kurban gitmek,kurban gitmek,death,hızlı ve yıkıcı bir prestij kaybı yaşayabiliyor. İnternetteki itibar kaybını her zaman dedikodu veya şikayetlere kurban gitmek olarak düşünmemek gerek. Sitelere dadanan kötü niyetli çerezler veya başka internet zararlıları da Google ve diğer,hızlı ve yıkıcı bir prestij kaybı yaşayabiliyor internetteki itibar kaybını her zaman dedikodu veya şikayetlere kurban gitmek olarak düşünmemek gerek sitelere dadanan kötü niyetli çerezler veya başka internet zararlıları da google ve diğer,241,33,hızlı ve yıkıcı bir prestij kaybı yaşayabiliyor. İnternetteki itibar kaybını her zaman dedikodu veya şikayetlere [PET_BOUNDARY]kurban gitmek[PET_BOUNDARY] olarak düşünmemek gerek. Sitelere dadanan kötü niyetli çerezler veya başka internet zararlıları da Google ve diğer,0,sometimes_euph
2352,2353,hayata veda etmek,hayatına veda etti,death,"türlü ""farklı"" olduğunuz için bu dünyada ""teste taabi"" tutulduğunuzu hissederek yaşamak zordur... Amy 28 yaşında hayatına veda etti . Birbirinden başarılı albümler yaptı, ödülleri ağaçtan elma toplar gibi bir bir topladı, yeri geldi konserlerinde",türlü farklı olduğunuz için bu dünyada teste taabi tutulduğunuzu hissederek yaşamak zordur amy  yaşında hayatına veda etti  birbirinden başarılı albümler yaptı ödülleri ağaçtan elma toplar gibi bir bir topladı yeri geldi konserlerinde,246,34,"türlü ""farklı"" olduğunuz için bu dünyada ""teste taabi"" tutulduğunuzu hissederek yaşamak zordur... Amy 28 yaşında [PET_BOUNDARY]hayatına veda etti[PET_BOUNDARY]. Birbirinden başarılı albümler yaptı, ödülleri ağaçtan elma toplar gibi bir bir topladı, yeri geldi konserlerinde",1,sometimes_euph
774,775,siyahi,siyahi,physical/mental attributes,"-BACA PERU KÜLTÜR BAKANI OLDU LİMA (A.A) - 26.07.2011 - Peru'de Devlet Başkanlığına seçilen Ollanta Humala, ünlü şarkıcı Sisana Baca'yı Kültür Bakanı olarak seçti. ""Lamento Negro"" albümüyle 2002'de Latin Grammy ödülü alan 67 yaşındaki Baca, ülkenin İspanya'dan bağımsızlığını kazandığı 1821'den bu yana ilk siyahi bakanı oldu. Devlet başkanlığı görevine resmen Perşembe günü başlayacak Humala, Eğitim Bakanlığına da sosyolog Patricia Salas'ı getirdi.","-baca peru kültür bakani oldu li̇ma (a.a) - 26.07.2011 - peru'de devlet başkanlığına seçilen ollanta humala, ünlü şarkıcı sisana baca'yı kültür bakanı olarak seçti. ""lamento negro"" albümüyle 2002'de latin grammy ödülü alan 67 yaşındaki baca, ülkenin i̇spanya'dan bağımsızlığını kazandığı 1821'den bu yana ilk siyahi bakanı oldu. devlet başkanlığı görevine resmen perşembe günü başlayacak humala, eğitim bakanlığına da sosyolog patricia salas'ı getirdi.",452,61," - BACA PERU KÜLTÜR BAKANI OLDU LİMA (A.A)  -  26.07.2011  -  Peru'de Devlet Başkanlığına seçilen Ollanta Humala, ünlü şarkıcı Sisana Baca'yı Kültür Bakanı olarak seçti. ""Lamento Negro"" albümüyle 2002'de Latin Grammy ödülü alan 67 yaşındaki Baca, ülkenin İspanya'dan bağımsızlığını kazandığı 1821'den bu yana ilk [PET_BOUNDARY]siyahi[PET_BOUNDARY] bakanı oldu. Devlet başkanlığı görevine resmen Perşembe günü başlayacak Humala, Eğitim Bakanlığına da sosyolog Patricia Salas'ı getirdi.",1,sometimes_euph
705,706,saf,saf,physical/mental attributes,"Beşiktaş, UEFA Avrupa Ligi'nde Liverpool'u saf dışı bırakıp Brugge ile eşleşirken TFF Süper Lig fikstüründe değişikliğe gitti. Federasyon, 12 Mart Perşembe oynanacak Club Brugge-Beşiktaş maçı nedeniyle 9 Mart Pazartesi günkü Medicana Sivasspor-Beşiktaş maçını 8 Mart Pazar 14:00'e alındığını açıkladı. Bu değişiklikten dolayı 5 Mart Perşembe günkü Kayserispor-Medicana Sivasspor Ziraat Türkiye Kupası Çeyrek Final 1. maçı da 18 Mart Çarşamba 19:30'a alındı.","beşiktaş, uefa avrupa ligi'nde liverpool'u saf dışı bırakıp brugge ile eşleşirken tff süper lig fikstüründe değişikliğe gitti. federasyon, 12 mart perşembe oynanacak club brugge-beşiktaş maçı nedeniyle 9 mart pazartesi günkü medicana sivasspor-beşiktaş maçını 8 mart pazar 14:00'e alındığını açıkladı. bu değişiklikten dolayı 5 mart perşembe günkü kayserispor-medicana sivasspor ziraat türkiye kupası çeyrek final 1. maçı da 18 mart çarşamba 19:30'a alındı.",457,61,"Beşiktaş, UEFA Avrupa Ligi'nde Liverpool'u [PET_BOUNDARY]saf[PET_BOUNDARY] dışı bırakıp Brugge ile eşleşirken TFF Süper Lig fikstüründe değişikliğe gitti. Federasyon, 12 Mart Perşembe oynanacak Club Brugge - Beşiktaş maçı nedeniyle 9 Mart Pazartesi günkü Medicana Sivasspor - Beşiktaş maçını 8 Mart Pazar 14:00'e alındığını açıkladı. Bu değişiklikten dolayı 5 Mart Perşembe günkü Kayserispor - Medicana Sivasspor Ziraat Türkiye Kupası Çeyrek Final 1. maçı da 18 Mart Çarşamba 19:30'a alındı.",0,sometimes_euph
2404,2405,düşük gelirli,düşük gelirli,employment/finances,"West End var . Windsor Farms, en iyi bilinen bölümleri arasındadır. West End ayrıca Laurel, Farmington gibi orta ve düşük gelirli mahalleleri ve Regency Alışveriş Merkezi'ni çevreleyen alanları içerir. Daha varlıklı bölgeler arasında Glen",west end var  windsor farms en iyi bilinen bölümleri arasındadır west end ayrıca laurel farmington gibi orta ve düşük gelirli mahalleleri ve regency alışveriş merkezini çevreleyen alanları içerir daha varlıklı bölgeler arasında glen,238,34,"West End var . Windsor Farms, en iyi bilinen bölümleri arasındadır. West End ayrıca Laurel, Farmington gibi orta ve [PET_BOUNDARY]düşük gelirli[PET_BOUNDARY] mahalleleri ve Regency Alışveriş Merkezi'ni çevreleyen alanları içerir. Daha varlıklı bölgeler arasında Glen",1,sometimes_euph
604,605,kaybetmek,kaybetmesi,death,"Mustafa Tuzcu idaresindeki 28 TE 493 plakalı otomobil, Düzce TEM Otoyolu Kaynaşlı Darıyer Hasanbeyli mevkisinde, sürücüsünün direksiyon hakimiyetini kaybetmesi sonucu yoldan çıkarak devrildi. Metrelerce ters olarak sürüklendikten sonra durabilen otomobildeki sürücü Mustafa Tuzcu, Çiğdem, Beyza (8), Saliha (5) ve Esra Tuzcu (3) yaralandı. Çevredeki vatandaşlar tarafından otomobilden çıkarılan yaralılar, olay yerine gelen 112 Acil Servis ambulanslarıyla Düzce'deki çeşitli hastanelere kaldırıldı.","mustafa tuzcu idaresindeki 28 te 493 plakalı otomobil, düzce tem otoyolu kaynaşlı darıyer hasanbeyli mevkisinde, sürücüsünün direksiyon hakimiyetini kaybetmesi sonucu yoldan çıkarak devrildi. metrelerce ters olarak sürüklendikten sonra durabilen otomobildeki sürücü mustafa tuzcu, çiğdem, beyza (8), saliha (5) ve esra tuzcu (3) yaralandı. çevredeki vatandaşlar tarafından otomobilden çıkarılan yaralılar, olay yerine gelen 112 acil servis ambulanslarıyla düzce'deki çeşitli hastanelere kaldırıldı.",498,60,"Mustafa Tuzcu idaresindeki 28 TE 493 plakalı otomobil, Düzce TEM Otoyolu Kaynaşlı Darıyer Hasanbeyli mevkisinde, sürücüsünün direksiyon hakimiyetini [PET_BOUNDARY]kaybetmesi[PET_BOUNDARY] sonucu yoldan çıkarak devrildi. Metrelerce ters olarak sürüklendikten sonra durabilen otomobildeki sürücü Mustafa Tuzcu, Çiğdem, Beyza (8), Saliha (5) ve Esra Tuzcu (3) yaralandı. Çevredeki vatandaşlar tarafından otomobilden çıkarılan yaralılar, olay yerine gelen 112 Acil Servis ambulanslarıyla Düzce'deki çeşitli hastanelere kaldırıldı.",0,sometimes_euph
1832,1833,son yolculuk,son yolculuk,death,"yerine birkaç günde bir alışverişe gitmek daha mantıklıdır Daha fazla yiyecek satın almadan önce pazara yaptığınız son yolculuk sırasında satın aldığınız tüm yiyecekleri kullanmaya özen gösterin. Ayrıca, satın almanız gereken öğelerin bir",yerine birkaç günde bir alışverişe gitmek daha mantıklıdır daha fazla yiyecek satın almadan önce pazara yaptığınız son yolculuk sırasında satın aldığınız tüm yiyecekleri kullanmaya özen gösterin ayrıca satın almanız gereken öğelerin bir,238,32,"yerine birkaç günde bir alışverişe gitmek daha mantıklıdır Daha fazla yiyecek satın almadan önce pazara yaptığınız [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] sırasında satın aldığınız tüm yiyecekleri kullanmaya özen gösterin. Ayrıca, satın almanız gereken öğelerin bir",0,sometimes_euph
1300,1301,iki canlı,iki canlı,bodily functions,"işliyoruz kaba-kacağa Çayı, kardan demliyoruz. Anam sır gibi saklar siyatiğini, Yel der, Baharın geçer Bacım, iki canlı ağır, Güzel kızdır, bilirsin, İlki bu,bir yandan saklı utanır Ve bir yandan korkar Ölürüm deyi. Bir can daha",işliyoruz kabakacağa çayı kardan demliyoruz anam sır gibi saklar siyatiğini yel der baharın geçer bacım iki canlı ağır güzel kızdır bilirsin ilki bubir yandan saklı utanır ve bir yandan korkar ölürüm deyi bir can daha,228,35,"işliyoruz kaba-kacağa Çayı, kardan demliyoruz. Anam sır gibi saklar siyatiğini, Yel der, Baharın geçer Bacım, [PET_BOUNDARY]iki canlı[PET_BOUNDARY] ağır, Güzel kızdır, bilirsin, İlki bu,bir yandan saklı utanır Ve bir yandan korkar Ölürüm deyi. Bir can daha",1,sometimes_euph
221,222,ekonomik,ekonomik,employment/finances,"Dış Ekonomik İlişkiler Kurulu'ndan (DEİK) yapılan yazılı açıklamaya göre kurul, 12–15 Şubat 2009 tarihleri arasında Cumhurbaşkanı Abdullah Gül'ün Rusya ve Tataristan ziyareti sırasında Moskova ve Kazan'da ortak toplantılar düzenleyecek. Açıklamada, ""Türkiye'den çok sayıda iş adamının da eşlik edeceği ve Abdullah Gül'ün de yer alacağı toplantılar, sektörel görüşmeler ve yeni işbirliklerinin görüşülmesi için önemli bir platform olacak"" denildi.","dış ekonomik i̇lişkiler kurulu'ndan (dei̇k) yapılan yazılı açıklamaya göre kurul, 12–15 şubat 2009 tarihleri arasında cumhurbaşkanı abdullah gül'ün rusya ve tataristan ziyareti sırasında moskova ve kazan'da ortak toplantılar düzenleyecek. açıklamada, ""türkiye'den çok sayıda iş adamının da eşlik edeceği ve abdullah gül'ün de yer alacağı toplantılar, sektörel görüşmeler ve yeni işbirliklerinin görüşülmesi için önemli bir platform olacak"" denildi.",448,57,"Dış [PET_BOUNDARY]Ekonomik[PET_BOUNDARY] İlişkiler Kurulu'ndan (DEİK) yapılan yazılı açıklamaya göre kurul, 12–15 Şubat 2009 tarihleri arasında Cumhurbaşkanı Abdullah Gül'ün Rusya ve Tataristan ziyareti sırasında Moskova ve Kazan'da ortak toplantılar düzenleyecek. Açıklamada, ""Türkiye'den çok sayıda iş adamının da eşlik edeceği ve Abdullah Gül'ün de yer alacağı toplantılar, sektörel görüşmeler ve yeni işbirliklerinin görüşülmesi için önemli bir platform olacak"" denildi.",0,sometimes_euph
1182,1183,birlikte olmak,birlikte olurken,sexual activity,ve Birçok uçuk istekleriniz olabilir yatakta. Bunlar oldukça abes şeyler de olabilir. Belki bunu bir başka kadın ile birlikte olurken söylemeye çekinebilirsiniz. Ancak şu da bir Okumak için geldiğim bu şehirde biraz olsun kaçamak ve tat arıyorum.,ve birçok uçuk istekleriniz olabilir yatakta bunlar oldukça abes şeyler de olabilir belki bunu bir başka kadın ile birlikte olurken söylemeye çekinebilirsiniz ancak şu da bir okumak için geldiğim bu şehirde biraz olsun kaçamak ve tat arıyorum,246,37,ve Birçok uçuk istekleriniz olabilir yatakta. Bunlar oldukça abes şeyler de olabilir. Belki bunu bir başka kadın ile [PET_BOUNDARY]birlikte olurken[PET_BOUNDARY] söylemeye çekinebilirsiniz. Ancak şu da bir Okumak için geldiğim bu şehirde biraz olsun kaçamak ve tat arıyorum.,1,sometimes_euph
27,28,aybaşı,aybaşında,bodily functions,"""Örneğin  , aybaşında olan kadınların terini koklayan hemcinslerinin regl günlerinin değişikliğe uğradığı saptandı  .""","""örneğin  aybaşında olan kadınların terini koklayan hemcinslerinin regl günlerinin değişikliğe uğradığı saptandı ",113,12,"""Örneğin , [PET_BOUNDARY]aybaşında[PET_BOUNDARY] olan kadınların terini koklayan hemcinslerinin regl günlerinin değişikliğe uğradığı saptandı .""",1,sometimes_euph
995,996,madde,madde,substances,"631877	Mevcut madde kullananları tedavi edip, yeni kullanımları engelleyerek bu büyük sorunu ortadan kaldırmamız lazım.","	mevcut madde kullananları tedavi edip, yeni kullanımları engelleyerek bu büyük sorunu ortadan kaldırmamız lazım.",113,14,"631877        Mevcut [PET_BOUNDARY]madde[PET_BOUNDARY] kullananları tedavi edip, yeni kullanımları engelleyerek bu büyük sorunu ortadan kaldırmamız lazım.",1,sometimes_euph
1426,1427,iyi saatte olsunlar,İyi saatte olsunlar,misc.,"değerlendirmeleri bir harikaydı! ""Başına saksı düşmüş olmalıydı. "", ""Hangi dağda kurt ölmüştü? "", ""İyi saatte olsunlar mı musallat olmuştu?"" ,""Ninesi, türbelere mi götürmüştü? "" Meslek hayatımın baharında en büyük dersi almıştım. Bu",değerlendirmeleri bir harikaydı başına saksı düşmüş olmalıydı  hangi dağda kurt ölmüştü  iyi saatte olsunlar mı musallat olmuştu ninesi türbelere mi götürmüştü  meslek hayatımın baharında en büyük dersi almıştım bu,232,32,"değerlendirmeleri bir harikaydı! ""Başına saksı düşmüş olmalıydı. "", ""Hangi dağda kurt ölmüştü? "", ""[PET_BOUNDARY]İyi saatte olsunlar[PET_BOUNDARY] mı musallat olmuştu?"" ,""Ninesi, türbelere mi götürmüştü? "" Meslek hayatımın baharında en büyük dersi almıştım. Bu",1,sometimes_euph
1423,1424,iyi saatte olsunlar,İyi saatte olsunlar,misc.,"birinden diğerini desteklerim. Isıtılmış bir koloniye basar, geçerler... Bu arada kontrollü olmakta fayda var... İyi saatte olsunlar uğramadığında tadı tuzu kalmıyor işin. Elbette, herkesin ve her kurumun eksikleri, yerine getiremedikleri vardır.",birinden diğerini desteklerim isıtılmış bir koloniye basar geçerler bu arada kontrollü olmakta fayda var iyi saatte olsunlar uğramadığında tadı tuzu kalmıyor işin elbette herkesin ve her kurumun eksikleri yerine getiremedikleri vardır,246,31,"birinden diğerini desteklerim. Isıtılmış bir koloniye basar, geçerler... Bu arada kontrollü olmakta fayda var... [PET_BOUNDARY]İyi saatte olsunlar[PET_BOUNDARY] uğramadığında tadı tuzu kalmıyor işin. Elbette, herkesin ve her kurumun eksikleri, yerine getiremedikleri vardır.",0,sometimes_euph
2252,2253,ekonomik,ekonomik,employment/finances,imaj ve prestij kazandırarak daha geniş kitlelere ulaştırır ve firmanızı veya ürünlerinizi tanıtmanın en etkili ve ekonomik yolunu size sağlarız. Arif Toy Kurucu 6 YIL TECRÜBE Reklam Tanıtım ve Prodüksiyon Hizmetleri Webtasarım Kurumsal Bir,imaj ve prestij kazandırarak daha geniş kitlelere ulaştırır ve firmanızı veya ürünlerinizi tanıtmanın en etkili ve ekonomik yolunu size sağlarız arif toy kurucu  yil tecrübe reklam tanıtım ve prodüksiyon hizmetleri webtasarım kurumsal bir,240,34,imaj ve prestij kazandırarak daha geniş kitlelere ulaştırır ve firmanızı veya ürünlerinizi tanıtmanın en etkili ve [PET_BOUNDARY]ekonomik[PET_BOUNDARY] yolunu size sağlarız. Arif Toy Kurucu 6 YIL TECRÜBE Reklam Tanıtım ve Prodüksiyon Hizmetleri Webtasarım Kurumsal Bir,1,sometimes_euph
321,322,göğüs,göğüslerini,physical/mental attributes,"The Doctors dizisinin setinde konuşan Beatie, karısı Nancy’yle, ""evliliklerinin kötü giden bir döneminde olduklarını"" söyleyerek, ""Şu anda ayrıyız"" ifadesini kullandı. Mastektomi ile göğüslerini aldıran, vajinası ve kadın üreme sisteminin sağlayan organları koruması nedeniyle çocuk doğurabilen Beatie, bu sayede çocuk doğurabilmişti. Ancak Beatie, geçen süre içerisinde geçirdiği yeni operasyonlar ve sürekli devam eden tedavisiyle, artık erkeklik sürecini tamamladı.","the doctors dizisinin setinde konuşan beatie, karısı nancy’yle, ""evliliklerinin kötü giden bir döneminde olduklarını"" söyleyerek, ""şu anda ayrıyız"" ifadesini kullandı. mastektomi ile göğüslerini aldıran, vajinası ve kadın üreme sisteminin sağlayan organları koruması nedeniyle çocuk doğurabilen beatie, bu sayede çocuk doğurabilmişti. ancak beatie, geçen süre içerisinde geçirdiği yeni operasyonlar ve sürekli devam eden tedavisiyle, artık erkeklik sürecini tamamladı.",468,57,"The Doctors dizisinin setinde konuşan Beatie, karısı Nancy’yle, ""evliliklerinin kötü giden bir döneminde olduklarını"" söyleyerek, ""Şu anda ayrıyız"" ifadesini kullandı. Mastektomi ile [PET_BOUNDARY]göğüslerini[PET_BOUNDARY] aldıran, vajinası ve kadın üreme sisteminin sağlayan organları koruması nedeniyle çocuk doğurabilen Beatie, bu sayede çocuk doğurabilmişti. Ancak Beatie, geçen süre içerisinde geçirdiği yeni operasyonlar ve sürekli devam eden tedavisiyle, artık erkeklik sürecini tamamladı.",1,sometimes_euph
1694,1695,gaz çıkarmak,gaz çıkartırken,bodily functions,şey kullanmadı eldivende bayağı canını. acıttı şimdi makatta hafif kanama çatlak var birde makat deliği genişlemiş gaz çıkartırken ses bir tuhaf çıkıyor... devamı Heyelan Nedir? Nasıl Oluşur? Yer Kaymalarını (Heyelanı) Etkileyen Faktörler: a),şey kullanmadı eldivende bayağı canını acıttı şimdi makatta hafif kanama çatlak var birde makat deliği genişlemiş gaz çıkartırken ses bir tuhaf çıkıyor devamı heyelan nedir nasıl oluşur yer kaymalarını heyelanı etkileyen faktörler a,242,33,şey kullanmadı eldivende bayağı canını. acıttı şimdi makatta hafif kanama çatlak var birde makat deliği genişlemiş [PET_BOUNDARY]gaz çıkartırken[PET_BOUNDARY] ses bir tuhaf çıkıyor... devamı Heyelan Nedir? Nasıl Oluşur? Yer Kaymalarını (Heyelanı) Etkileyen Faktörler: a),1,sometimes_euph
